company,period,metric,value,unit,source_url
HKEX,2025-Q1,trading_tariff_per_side,0.0,HKD_per_side_per_trade,https://www.hkex.com.hk/Services/Rules-and-Forms-and-Fees/Fees/Securities-(Hong-Kong)/Trading/Transaction?sc_lang=en
HKEX,2025-Q2,adt_equity_products,220.3,HKD_bn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250820news/250820news_e.pdf
HKEX,2025-Q2,cash_seg_clearing_fee_revenue,846,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250820news/250820news_e.pdf
HKEX,2025-Q2,cash_seg_si_fee_revenue,150,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250820news/250820news_e.pdf
HKEX,2025-Q2,cash_seg_trading_fee_revenue,1263,HKD_mn,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250820news/250820news_e.pdf
HKEX,2025-Q2,clearing_fee_effective_rate_both_sides,0.0064,pct_of_turnover,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250820news/250820news_e.pdf
HKEX,2025-Q2,clearing_fee_effective_rate_per_side,0.0032,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/News/News-Release/2025/250820news/250820news_e.pdf
HKEX,2025-Q2,stock_clearing_fee_exchange_trade,0.0,HKD,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Rules-and-Forms-and-Fees/Rules/HKSCC/Operational-Procedures/SEC21.pdf
HKEX,2025-Q2,stock_settlement_fee_crossed_trade_per_side,0.001,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Circulars-and-Notices/Participant-and-Members-Circulars/HKSCC/2025/019_25_HKSCC_OP_stock-settlement-fee-restructure_e.pdf
HKEX,2025-Q2,stock_settlement_fee_listed_rate_per_side,0.002,pct_of_gross_value,https://www.hkex.com.hk/-/media/HKEX-Market/Services/Circulars-and-Notices/Participant-and-Members-Circulars/HKSCC/2025/019_25_HKSCC_OP_stock-settlement-fee-restructure_e.pdf
