month,payment_rate_pct,portfolio_yield_pct,excess_spread_pct,principal_receivables_usdbn,dq30_pct,nco_pct
2025-08,48.9061,31.4452,25.1319,25.437004,0.77,1.2479
2025-09,49.7680,32.0513,24.6958,25.033000,0.79,1.2566
2025-10,49.0685,30.7150,24.4045,25.184536,0.78,1.3364
2025-11,48.7797,31.7990,24.4639,25.706739,0.76,1.1631
2025-12,51.1365,30.3808,24.0639,26.416151,0.74,1.1739
2026-01,50.2034,31.4326,25.1359,25.236716,0.76,1.1140
2026-02,52.3124,34.2211,24.6026,24.408962,0.79,1.2714
2026-03,49.7190,30.7224,24.4121,25.072980,0.75,1.2204
2026-04,52.1165,32.8033,25.4545,25.021693,0.70,1.3379
2026-05,50.5064,31.3116,25.0273,25.437874,0.67,1.2381
2026-06,52.2926,32.9226,25.5869,25.169022,0.67,0.7202
2026-07,50.7944,31.7408,25.4648,24.930085,0.65,1.1114
