month,funded_customers_mn,total_platform_assets_usdbn,net_deposits_usdbn,eqopt_trading_days,crypto_trading_days,vol_equity_usdbn,vol_options_mn,vol_crypto_usdbn,vol_crypto_app_usdbn,vol_crypto_bitstamp_usdbn,vol_event_bn,adv_equity_usdbn,adv_options_mn,adv_crypto_usdmn,adv_crypto_app_usdmn,adv_crypto_bitstamp_usdmn,adv_event_mn,dats_equity_mn,dats_options_mn,dats_crypto_mn,margin_book_usdbn,cash_and_deposits_usdbn,cash_sweep_usdbn,seclend_total_usdmn,seclend_net_usdmn
2022-01,22.7,86.8,2.9,20.0,,60.5,78.0,9.1,,,,,,,,,,1.9,0.7,0.4,5.5,,2.1,,
2022-02,22.8,86.9,1.6,19.0,,56.9,72.3,7.2,,,,,,,,,,1.7,0.7,0.3,5.3,,2.1,,
2022-03,22.8,93.1,1.2,23.0,,71.4,86.6,7.2,,,,,,,,,,1.8,0.6,0.3,5.3,,2.3,,
2022-04,22.8,78.5,1.2,20.0,,54.7,70.4,6.9,,,,,,,,,,1.6,0.6,0.4,5.2,,1.9,,
2022-05,22.8,73.9,2.5,21.0,,58.2,71.9,6.6,,,,,,,,,,1.6,0.6,0.4,4.2,,2.3,7,
2022-06,22.9,64.2,1.5,21.0,,50.1,68.3,5.5,,,,,,,,,,1.5,0.5,0.4,4.1,,2.4,11,
2022-07,22.9,74.6,0.7,20.0,,48.8,67.0,5.5,,,,,,,,,,1.3,0.5,0.3,4.0,,2.5,13,
2022-08,22.9,71.0,0.8,23.0,,66.0,89.9,5.3,,,,,,,,,,1.6,0.6,0.3,4.2,,2.6,14,
2022-09,22.9,64.6,1.3,21.0,,46.5,78.2,3.6,,,,,,,,,,1.5,0.5,0.3,4.1,,3.0,9,
2022-10,22.9,70.2,1.6,21.0,,46.7,78.7,3.5,,,,,,,,,,1.3,0.6,0.2,3.8,,3.8,7,
2022-11,23.0,70.2,1.7,21.0,,44.7,81.8,5.7,,,,,,,,,,1.3,0.6,0.3,3.5,,5.0,8,
2022-12,23.0,62.2,1.6,21.0,,38.6,75.3,1.9,,,,,,,,,,1.4,0.5,0.2,3.1,,5.8,10,
