month,open_notional_ntd_k,open_fair_value_ntd_k
2021-12,132734482,-491191.0
2022-01,124613941,-1077336.0
2022-02,131291971,-1656.0
2022-03,118373692,-1314692.0
2022-04,143694765,-4698203.0
2022-05,125656332,-1818998.0
2022-06,97269884,-542604.0
2022-07,149386202,-495606.0
2022-08,190227566,2234230.0
2022-09,140119657,4443950.0
2022-10,96459247,1470419.0
2022-11,33730050,-246872.0
2022-12,79610590,534787.0
2023-01,53674347,-66896.0
2023-02,89813850,411534.0
2023-03,114603742,109337.0
2023-04,100669094,745496.0
2023-05,82510271,-311272.0
2023-06,69835705,796633.0
2023-07,60830762,640914.0
2023-08,31199576,328230.0
2023-09,10026983,45315.0
2023-10,33180318,93347.0
2023-11,52569922,553172.0
2023-12,52226782,599012.0
2024-01,42417755,-344887.0
2024-02,125656157,-1792657.0
2024-03,90576266,-871219.0
2024-04,107531880,-824924.0
2024-05,64043323,-465829.0
2024-06,119934232,-460822.0
2024-07,163059495,-1369628.0
2024-08,46683589,785755.0
2024-09,79968000,873204.0
2024-10,93321167,-221421.0
2024-11,125543609,-1154423.0
2024-12,106240368,-425936.0
2025-01,168736005,507478.0
2025-02,215875109,171754.0
2025-03,223317318,-2043148.0
2025-04,143528519,3201952.0
2025-05,39556772,649891.0
2025-06,113262856,1541719.0
2025-07,118403158,-3884113.0
2025-08,204874735,-2616679.0
2025-09,210103177,-1144690.0
2025-10,278939243,-2287163.0
2025-11,308342427,-6084016.0
2025-12,280130819,-3015196.0
2026-01,241054483,-226612.0
2026-02,290988753,1802728.0
2026-03,205042004,-3041798.0
2026-04,189918730,542087.0
2026-05,211234354,722513.0
2026-06,201319113,-2393995.0
2026-07,230720646,-2645507.0
