month,ticker,co_id,remark,triggered,trigger_leg,yoy_pct,ytd_yoy_pct,co_name
2026-01,nanya,2408,受市場需求復甦影響。,1,both,608.02,608.02,南亞科
2026-01,umc,2303,,0,-,5.33,5.33,聯電
2026-01,alchip,3661,本月營收較去年同期減少，係因量產產品減少所致。,1,both,-56.07,-56.07,世芯-KY
2026-01,guc,3443,主要是晶圓產品(Wafer production)銷售增加所致,1,both,107.78,107.78,創意
2026-02,tsm,2330,,0,-,22.17,29.93,台積電
2026-02,ase,3711,,0,-,15.87,18.73,日月光投控
2026-02,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,-15.63,-11.70,聯發科
2026-02,nanya,2408,受市場需求復甦影響。,1,both,586.71,597.10,南亞科
2026-02,umc,2303,,0,-,6.33,5.81,聯電
2026-02,alchip,3661,本月營收較去年同期減少，係因量產產品減少所致。,1,both,-77.08,-67.11,世芯-KY
2026-02,guc,3443,晶圓產品以及委託設計收入增加所致,1,both,60.15,83.65,創意
2026-03,tsm,2330,,0,-,45.19,35.13,台積電
2026-03,ase,3711,,0,-,14.57,17.22,日月光投控
2026-03,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,12.90,-2.71,聯發科
2026-03,nanya,2408,受市場需求復甦影響。,1,both,560.04,582.91,南亞科
2026-03,umc,2303,,0,-,4.89,5.49,聯電
2026-03,alchip,3661,本年營收較去年同期減少，係因量產產品減少所致。,1,ytd,-46.57,-60.08,世芯-KY
2026-03,guc,3443,主要為晶圓產品收入增加,1,ytd,33.48,62.99,創意
2026-04,tsm,2330,,0,-,17.50,29.95,台積電
2026-04,ase,3711,,0,-,19.22,17.74,日月光投控
2026-04,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,-4.14,-3.06,聯發科
2026-04,nanya,2408,受市場需求成長影響。,1,both,717.33,623.58,南亞科
2026-04,umc,2303,,0,-,10.80,6.88,聯電
2026-04,alchip,3661,本年營收較去年同期減少，係因量產產品減少所致。,1,ytd,-32.31,-53.66,世芯-KY
2026-04,guc,3443,主要為晶圓產品收入增加,1,both,156.85,81.04,創意
2026-05,tsm,2330,,0,-,30.09,29.98,台積電
2026-05,ase,3711,,0,-,28.57,19.87,日月光投控
2026-05,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,4.99,-1.59,聯發科
2026-05,nanya,2408,受市場需求成長影響。,1,both,730.14,649.62,南亞科
2026-05,umc,2303,,0,-,17.78,9.05,聯電
2026-05,alchip,3661,本年營收較去年同期減少，係因量產產品減少所致。,1,ytd,-33.45,-50.05,世芯-KY
2026-05,guc,3443,主要為晶圓產品收入增加,1,both,132.13,90.64,創意
2026-06,tsm,2330,因先進製程產品需求增加所致。,1,month,67.87,35.61,台積電
2026-06,ase,3711,,0,-,32.86,22.02,日月光投控
2026-06,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,2.80,-0.77,聯發科
2026-06,nanya,2408,受市場需求成長影響。,1,both,621.34,643.12,南亞科
2026-06,umc,2303,,0,-,22.85,11.28,聯電
2026-06,alchip,3661,,0,-,15.39,-39.74,世芯-KY
2026-06,guc,3443,主要為晶圓產品收入增加,1,both,103.72,93.05,創意
2026-07,tsm,2330,,0,-,44.69,37.01,台積電
2026-07,ase,3711,,0,-,43.15,25.13,日月光投控
2026-07,mtk,2454,海外子公司之營收係以當月平均匯率換算之,0,-,12.16,0.84,聯發科
2026-07,nanya,2408,受市場需求成長影響。,1,both,719.61,660.87,南亞科
2026-07,umc,2303,,0,-,18.98,12.41,聯電
2026-07,alchip,3661,本月營收較去年同期增加，係因量產產品增加所致。,1,month,181.78,-13.78,世芯-KY
2026-07,guc,3443,主要為晶圓產品收入增加,1,both,158.38,102.55,創意
