month,sec_trading_days,sec_turnover_mnshares,sec_turnover_sgdmn,sdav_sgdmn,listed_securities,mktcap_sgdmn,turnover_velocity_pct,deriv_vol_contracts,ddav_contracts,deriv_futures_vol_contracts,deriv_options_vol_contracts,deriv_swaps_vol_contracts,deriv_oi_contracts,vol_equity_index_futures_contracts,vol_a50_futures_contracts,vol_nikkei225_futures_contracts,vol_nifty50_futures_contracts,vol_msci_singapore_futures_contracts,vol_msci_taiwan_futures_contracts,vol_ftse_taiwan_futures_contracts,vol_fx_futures_contracts,vol_usdcnh_futures_contracts,vol_inrusd_futures_contracts,vol_rates_futures_contracts,vol_iron_ore_contracts,vol_commodities_contracts,vol_crypto_contracts,ipos_count,delistings_count,ipo_funds_sgdmn,new_bond_listings,bond_funds_sgdmn
2024-10,22,31571,26921,1224,617,839169,39,31325669,1583295,30238096,1085383,2190,6036958,19890727,14903948,498638,1776976,1154491,,1413146,5322123,3110842,1753228,70085,4875072,5582515,,1,4,3,124,32602
2024-11,21,28136,30164,1436,618,859042,45,26079106,1271078,25404176,672543,2387,5653066,14451589,9723399,491561,1565298,1137446,,1409478,6115980,3813375,1686483,57892,4377978,5037529,,3,2,17,37,23432
2024-12,21,19361,20038,954,617,865902,29,23180725,1092542,22657501,520171,3053,5167967,13004668,8545330,676590,1494713,1013857,,1142771,5601075,3380194,1760926,82414,3583852,4183115,,0,1,0,27,11154
2025-01,20,19130,20835,1042,615,873455,32,23897051,1242028,23195446,697843,3762,4988272,13163503,8468905,476146,1697753,1052043,,1332928,5764084,3434802,1917524,80441,3894390,4437780,,0,2,0,52,27938
2025-02,20,29937,29604,1480,614,876992,45,25627166,1359761,24808014,815290,3862,5374991,13903163,9436141,462334,1559825,1069359,,1202018,6133286,3212064,2469390,96995,4402046,5027675,,0,1,0,86,21487
2025-03,20,26836,29654,1483,613,890496,43,27374753,1333098,26662316,708343,4094,5286474,14624359,9447782,777942,1702208,1202594,,1351282,6562982,3621322,2440965,124919,4966205,5604429,,0,1,0,112,34491
2025-04,21,29459,40592,1933,613,871458,58,29929220,1472954,29118881,804908,5431,5161333,14955377,9427907,750122,1685576,1161033,,1783541,8158915,4424696,2943311,102075,5502011,6254214,,1,1,6,47,21608
2025-05,20,22317,26892,1345,612,880836,40,25361917,1264133,24452717,899729,9471,5463802,12301237,7842413,382424,1688930,852308,,1366785,7282187,3625330,2873538,100880,4794353,5318428,,0,1,0,104,29510
2025-06,21,24760,26006,1238,608,891201,36,26109454,1270536,25377859,726759,4836,5734879,13169262,8553797,597336,1615004,870221,,1319460,6698923,3528208,2358493,123004,5237886,5782414,,0,4,0,47,15362
2025-07,23,38920,33812,1470,607,946159,41,29286964,1281130,27953878,1324788,8298,6437866,13885076,9166549,434495,1604923,1107148,,1334989,6031764,3142339,2218566,59506,8343367,8999412,,4,5,1125,151,81585
2025-08,21,31802,33613,1601,607,967655,43,27379196,1325870,26550926,821380,6890,6627850,14945727,10416492,406614,1526955,1050762,,1262072,5548969,2894410,2121676,63404,6018870,6494380,,1,1,7,90,22333
2025-09,22,38639,33334,1515,606,995101,40,30558607,1402108,29505508,1047723,5376,6811167,16324059,11298690,684789,1538576,1059535,,1401042,6284218,3307890,2450730,93278,6892804,7520407,,3,4,1036,101,64956
2025-10,22,35147,33932,1542,605,1021695,39,29532368,1516900,28657877,870835,3656,6746866,15782089,10228492,678875,1772253,1161608,,1571842,6718861,3270253,2812178,49046,5970671,6554931,,1,2,48,127,40094
2025-11,20,29263,35545,1777,606,1034736,45,25901263,1310947,25132581,763529,5153,6520828,14050870,8892358,523241,1516240,1097959,,1627245,6118443,3113226,2414895,53055,4782724,5316482,5433,2,1,106,48,16592
2025-12,22,24454,25808,1173,606,1059272,29,28312211,1279017,27485544,819903,6764,6152144,13887097,9146578,604136,1593691,1020428,,1213776,8017672,3901660,3346298,91714,5373102,5995177,41116,3,2,540,43,47226
2026-01,21,33915,34630,1649,607,1101283,38,32069742,1582582,31175322,885515,8905,6263907,16593579,11348519,546119,1729544,999148,,1582615,8268182,4462004,2994796,68178,6072415,6813365,52737,3,2,35,54,30554
2026-02,18,26801,38547,2141,606,1124434,49,27135041,1655304,26325724,804883,4434,6160219,13416969,8304240,517278,1681985,1071396,,1454954,8040602,4078349,3069892,89631,4671490,5283411,43493,0,1,0,29,14617
2026-03,22,38066,52822,2401,604,1095707,56,38307514,1804456,36986492,1309677,11345,6244529,17980533,11048101,900748,2221951,1312477,,1991726,11717411,6388581,4059995,122947,7110182,8089223,72650,1,3,974,177,49330
2026-04,21,40621,43160,2055,600,1120293,48,30208711,1479546,29449421,751180,8110,6235057,14248767,9068023,452034,1751137,1129305,,1567759,9670422,4930585,3832700,80562,5227211,5926340,31046,1,5,10,72,41631
2026-05,19,38737,45837,2412,601,1123460,56,30483078,1607949,29926157,550925,5996,5954865,14987164,9885857,434682,1816138,1126293,,1504762,9567681,4443198,4038743,99262,4884570,5573364,38624,1,0,100,114,32293
2026-06,21,29882,44639,2126,601,1129411,49,34315225,1619444,33605533,702030,7662,5530850,17395074,11724378,748048,1945676,1201396,,1551968,10268040,4989060,3916421,145185,5354979,6205052,52076,0,0,0,56,32516
2026-07,23,27425,46195,2008,604,1201325,44,33865821,1488259,33137032,723130,5659,5716591,18538145,12929245,578621,1925447,1284403,,1561693,9280605,4154962,3720012,101756,5053553,5713238,26786,3,0,272,86,46929
