month,sec_trading_days,sec_turnover_mnshares,sec_turnover_sgdmn,sdav_sgdmn,listed_securities,mktcap_sgdmn,turnover_velocity_pct,deriv_vol_contracts,ddav_contracts,deriv_futures_vol_contracts,deriv_options_vol_contracts,deriv_swaps_vol_contracts,deriv_oi_contracts,vol_equity_index_futures_contracts,vol_a50_futures_contracts,vol_nikkei225_futures_contracts,vol_nifty50_futures_contracts,vol_msci_singapore_futures_contracts,vol_msci_taiwan_futures_contracts,vol_ftse_taiwan_futures_contracts,vol_fx_futures_contracts,vol_usdcnh_futures_contracts,vol_inrusd_futures_contracts,vol_rates_futures_contracts,vol_iron_ore_contracts,vol_commodities_contracts,vol_crypto_contracts,ipos_count,delistings_count,ipo_funds_sgdmn,new_bond_listings,bond_funds_sgdmn
2016-01,20,28911,23186,1159,771,854584,,17742545,902572,16965237,744425,32883,2804369,15373834,8195634,3023652,1757524,627299,1725417,,522933,39552,463855,28207,1113796,1234896,,3,1,42,25,13088
2016-02,19,22750,24150,1271,771,871790,,13882154,787315,13122939,729602,29613,3585196,11595201,5624878,2480998,1801149,603801,1037189,,552423,22552,522043,52401,1063138,1164660,,0,0,0,17,3677
2016-03,22,46539,27342,1243,770,894258,,17058402,768145,15807448,1203693,47261,3963615,13739333,7426439,2430234,1735068,593343,1512487,,476080,23601,446541,118015,2087917,2259313,,1,2,7,36,21268
2016-04,21,30505,21038,1002,768,897375,,14856398,754643,13849330,970273,36795,4291862,12040693,6085698,2100756,1712039,647246,1466091,,378640,25651,348163,24308,1630870,1830633,,1,3,12,45,27819
2016-05,21,35316,21567,1027,766,894660,,13554950,650571,12684035,839713,31202,4202070,11100394,5456019,1448076,1935028,669680,1542582,,507022,30671,469831,21861,1184938,1347261,,1,3,634,12,12282
2016-06,22,32793,22531,1024,763,898695,,14114762,671645,13133176,964034,17552,4067948,11618761,5091175,2496236,1806896,679719,1498586,,642002,30598,604669,92062,878197,996410,,2,5,928,29,15720
2016-07,20,34766,21000,1050,768,910255,,12881730,629601,12063497,804388,13845,4235333,10544364,5023074,1781944,1548209,642212,1490125,,436900,29203,398202,31574,1125868,1288097,,6,1,423,54,18995
2016-08,22,30805,20585,936,767,909713,,13833238,612354,13074023,743691,15524,4266542,11630986,5969029,1462569,1840012,617408,1677103,,457747,46808,401213,33649,1050886,1179275,,2,3,201,36,10931
2016-09,21,34918,20661,984,763,918496,,13417142,672735,12830138,575842,11162,4044133,11176371,5028623,2016445,1883683,629225,1543455,,559655,43252,509523,80652,997867,1171316,,0,4,0,49,28919
2016-10,21,44619,19609,934,760,912096,,11563628,638519,10960916,585279,17433,4084937,9447420,4199863,1251498,1722014,592229,1621772,,499028,55214,434695,19219,1030091,1218628,,0,3,0,55,27471
