month,report_date,filing_date,accession,days_in_period,payment_rate_pct,portfolio_yield_pct,excess_spread_pct_group1,n_series_at_that_es,ending_principal_receivables_usd,ending_total_receivables_usd,ending_total_principal_balance_usd,ending_transferor_amount_usd,beginning_accounts,ending_accounts,total_fc_collections_usd,fc_collections_excl_recoveries_usd,recoveries_usd,total_principal_collections_usd,new_principal_receivables_usd,defaulted_amount_usd,net_default_amount_usd,ann_default_rate_pct,ann_recovery_rate_pct,ann_default_rate_net_pct,dq3160_usd,dq3160_pct,dq6190_usd,dq6190_pct,dq91120_usd,dq91120_pct,dq120p_usd,dq120p_pct,dq30p_usd,dq30p_pct
2018-06,2018-06-30,2018-07-16,0001193125-18-218224,30.0,34.9579,22.0081,17.6377,8,23271412319.65,24071416010.48,23271412319.65,4583621319.65,12775757.0,12768095.0,463840213.47,450261721.73,13578491.74,8187550899.42,8077981333.55,40178474.31,26599982.57,2.1006,0.71,1.3907,60535368.0,0.25,45411146.0,0.19,37762578.0,0.16,73552845.0,0.31,217261937.0,0.9
2018-07,2018-07-31,2018-08-15,0001193125-18-249466,31.0,33.2137,20.7398,17.0572,9,23196453661.81,24012715918.48,23196453661.81,3752829661.81,12768095.0,12760387.0,452486500.98,439429422.44,13057078.54,7986948806.94,7954558785.98,42568636.88,29511558.34,2.1607,0.66,1.498,62205944.0,0.26,43947162.0,0.18,38624648.0,0.16,68230370.0,0.28,213008124.0,0.89
2018-08,2018-08-31,2018-09-17,0001193125-18-274729,31.0,34.1274,21.4419,17.6929,9,23038366800.79,23855547008.7,23038366800.79,3594742800.79,12760387.0,12752853.0,465583214.26,451618936.4,13964277.86,8180230800.08,8065297757.77,43153818.71,29189540.85,2.2055,0.71,1.4918,63470272.0,0.27,44583496.0,0.19,38133853.0,0.16,63124830.0,0.26,209312451.0,0.88
2018-09,2018-09-30,2018-10-15,0001193125-18-299037,30.0,32.7435,21.8442,17.3844,10,22914662063.88,23739054637.48,22914662063.88,1993941063.88,12752853.0,12499212.0,450503363.35,438037469.45,12465893.9,7543558123.75,7456721965.28,36868578.44,24402684.54,1.9576,0.66,1.2957,69101713.0,0.29,46575407.0,0.2,39025424.0,0.16,64674069.0,0.27,219376613.0,0.92
2018-10,2018-10-31,2018-11-15,0001193125-18-327603,31.0,34.8868,19.4194,15.5717,10,30840320248.78,31856941353.64,30840320248.78,10632693248.78,12499212.0,16372586.0,546315780.15,532665659.17,13650120.98,11083044372.08,11218800909.51,39252199.77,25602078.79,1.4986,0.52,0.9774,82678458.0,0.26,50769740.0,0.16,39861426.0,0.13,64692587.0,0.2,238002210.0,0.75
2018-11,2018-11-30,2018-12-17,0001193125-18-350712,30.0,35.8618,23.2603,18.7215,10,31337046033.58,32350884289.82,31337046033.58,11129419033.58,16372586.0,16365200.0,630252480.05,618251037.13,12001442.92,11059903443.83,11597275265.83,40646037.19,28644594.27,1.5781,0.47,1.1121,85672402.0,0.26,61636003.0,0.19,43897024.0,0.14,66886714.0,0.21,258092143.0,0.8
2018-12,2018-12-31,2019-01-15,0001193125-19-009600,31.0,35.3547,22.0422,18.2448,10,32156766103.34,33194024764.13,32156766103.34,11957474103.34,16365200.0,16317360.0,630037625.69,616070115.71,13967509.98,11448427174.39,12311530397.66,43383153.51,29415643.53,1.5885,0.51,1.0771,90214765.0,0.27,63622222.0,0.19,53202529.0,0.16,70887051.0,0.21,277926566.0,0.84
2019-01,2019-01-31,2019-02-15,0001193125-19-041961,31.0,35.7623,22.5009,18.7122,10,30898530256.29,31950948280.85,30898530256.29,10699238256.29,16317360.0,16309434.0,657888860.75,644960495.38,12928365.37,11883344475.48,10668471239.04,43362610.61,30434245.24,1.6524,0.49,1.1597,84769011.0,0.27,66912948.0,0.21,53863667.0,0.17,81933058.0,0.26,287478683.0,0.9
2019-02,2019-02-28,2019-03-15,0001193125-19-076247,28.0,36.9639,24.2661,18.0462,11,30011298011.33,31045076412.5,30011298011.33,8097719011.33,16309434.0,16301247.0,621323973.05,608348433.88,12975539.17,10659879056.18,9818791567.97,46144756.75,33169217.58,2.0043,0.56,1.4407,93598910.0,0.3,62663115.0,0.2,56592797.0,0.18,91159571.0,0.29,304014393.0,0.98
2019-03,2019-03-31,2019-04-15,0001193125-19-106162,31.0,35.1763,21.1607,17.2846,11,30447541280.18,31494624871.55,30447541280.18,8533962280.18,16301247.0,16269319.0,595049415.32,580377485.75,14671929.57,10908758652.02,11400684942.75,55683021.88,41011092.31,2.1533,0.57,1.5859,89181901.0,0.28,64913639.0,0.21,52146968.0,0.17,92374967.0,0.29,298617475.0,0.95
